,,,,,,,
,,,,,,,
Customer_Segment,COUNTA of Customer Id,AVERAGE of SUM of Total_Value,AVERAGE of M_Score,SUM of SUM of Total_Value,,,
17222,30.60,1,13/12/2009,,,,
17227,1.45,1,23/06/2010,,,,
17228,31.65,3,27/10/2010,,,,
17230,371.40,2,16/09/2010,,,,
17231,97.05,9,23/11/2010,,,,
17236,7.95,1,10/11/2010,,,,
17238,54.22,8,21/11/2010,,,,
17240,17.70,1,03/12/2009,,,,
17241,12.70,2,26/08/2010,,,,
17242,16.50,1,06/09/2010,,,,
17243,150.60,13,05/12/2010,,,,
17245,3.30,1,16/11/2010,,,,
17251,10.20,1,05/08/2010,,,,
17254,3.25,1,11/08/2010,,,,
17259,22.55,2,03/10/2010,,,,
17264,10.86,1,18/10/2010,,,,
17266,13.45,2,25/11/2010,,,,
17268,122.40,1,15/11/2010,,,,
17269,5.85,1,13/06/2010,,,,
17270,11.85,1,08/01/2010,,,,
17273,10.20,1,24/11/2010,,,,
17275,5.90,1,03/10/2010,,,,
17276,38.84,1,22/11/2010,,,,
17282,9.90,1,01/03/2010,,,,
17284,9.90,1,15/03/2010,,,,
17285,5.90,1,05/12/2010,,,,
17287,122.54,7,02/11/2010,,,,
17288,18.09,2,25/11/2010,,,,
17289,9.15,2,26/03/2010,,,,
17290,152.16,2,14/09/2010,,,,
17293,42.95,3,07/11/2010,,,,
17299,11.65,2,21/06/2010,,,,
17301,2.50,1,10/11/2010,,,,
17311,10.50,1,20/07/2010,,,,
17314,17.70,1,07/11/2010,,,,
17315,14.17,3,19/11/2010,,,,
17316,2.10,1,29/04/2010,,,,
17320,30.45,2,21/09/2010,,,,
17321,15.80,2,05/11/2010,,,,
17322,10.00,2,13/08/2010,,,,
17323,14.85,2,17/10/2010,,,,
17324,78.65,4,12/08/2010,,,,
17325,10.20,1,01/07/2010,,,,
17329,5.04,1,11/12/2009,,,,
17332,4.95,1,14/12/2009,,,,
17338,29.95,6,16/11/2010,,,,
17340,333.85,6,03/11/2010,,,,
17341,0.42,1,05/12/2010,,,,
17343,63.30,2,04/06/2010,,,,
17344,1.25,1,23/07/2010,,,,
17345,16.74,4,02/12/2010,,,,
17346,30.93,7,11/11/2010,,,,
17348,17.08,3,05/10/2010,,,,
17349,12.65,1,17/03/2010,,,,
17350,4.95,1,07/09/2010,,,,
17354,178.40,2,09/06/2010,,,,
17356,10.20,1,30/09/2010,,,,
17358,78.20,3,19/10/2010,,,,
17359,8.25,1,18/01/2010,,,,
17360,13.85,1,09/06/2010,,,,
17361,17.70,1,16/04/2010,,,,
17362,11.80,3,01/12/2010,,,,
17363,39.00,1,23/09/2010,,,,
17364,103.15,6,22/11/2010,,,,
17365,37.20,2,19/11/2010,,,,
17366,29.85,2,28/11/2010,,,,
17368,17.88,2,05/12/2010,,,,
17371,10.85,1,02/05/2010,,,,
17372,59.45,5,23/11/2010,,,,
17373,7.50,1,19/09/2010,,,,
17375,17.00,1,11/08/2010,,,,
17376,1.70,1,22/10/2010,,,,
17377,424.58,20,08/12/2010,,,,
17388,19.90,2,13/09/2010,,,,
17389,170.71,6,01/12/2010,,,,
17393,8.50,1,04/01/2010,,,,
17397,2.55,1,26/08/2010,,,,
17400,66.68,3,08/12/2010,,,,
17402,77.35,2,14/11/2010,,,,
17404,15.00,1,21/09/2010,,,,
17406,46.25,3,20/08/2010,,,,
17409,30.00,1,22/09/2010,,,,
17412,390.82,6,05/11/2010,,,,
17413,17.70,1,20/10/2010,,,,
17416,142.50,3,01/12/2010,,,,
17421,47.40,2,03/12/2010,,,,
17422,55.75,4,20/10/2010,,,,
17423,10.20,1,03/10/2010,,,,
17428,155.20,7,08/11/2010,,,,
17429,33.90,1,16/06/2010,,,,
17432,40.05,1,05/11/2010,,,,
17437,20.90,1,19/08/2010,,,,
17438,30.60,1,21/07/2010,,,,
17441,13.50,1,03/12/2009,,,,
17442,52.58,2,22/11/2010,,,,
17448,269.75,16,01/12/2010,,,,
17449,55.20,3,09/11/2010,,,,
17450,140.32,2,23/11/2010,,,,
17457,-8.75,1,22/07/2010,,,,
17460,40.40,2,17/09/2010,,,,
17463,15.90,1,23/09/2010,,,,
17464,0.95,1,29/06/2010,,,,
17465,55.65,3,06/06/2010,,,,
17469,73.29,3,08/12/2010,,,,
17470,25.80,2,24/10/2010,,,,
17472,24.49,1,11/10/2010,,,,
17477,93.75,2,23/11/2010,,,,
17482,20.85,1,07/07/2010,,,,
17490,19.80,1,13/06/2010,,,,
17504,43.76,1,04/11/2010,,,,
17508,89.25,3,21/10/2010,,,,
17511,"1,624.54",17,07/12/2010,,,,
17512,15.60,1,19/10/2010,,,,
17516,2.50,1,04/08/2010,,,,
17518,13.95,2,09/12/2010,,,,
17519,19.80,1,09/12/2010,,,,
17526,233.40,2,24/05/2010,,,,
17529,42.85,1,15/11/2010,,,,
17530,19.75,2,06/12/2010,,,,
17534,17.00,1,19/11/2010,,,,
17539,19.50,1,18/08/2010,,,,
17540,35.40,1,25/11/2010,,,,
17542,3.75,1,25/11/2010,,,,
17544,8.95,1,29/09/2010,,,,
17545,5.50,1,23/11/2010,,,,
17547,15.00,1,07/03/2010,,,,
17550,20.85,2,12/02/2010,,,,
17552,98.04,5,07/10/2010,,,,
17553,816.00,1,19/02/2010,,,,
17555,1.90,1,16/11/2010,,,,
17561,11.65,2,17/05/2010,,,,
17565,10.85,1,02/09/2010,,,,
17567,53.80,2,24/10/2010,,,,
17568,26.88,1,07/10/2010,,,,
17571,12.75,1,21/05/2010,,,,
17576,125.15,11,03/11/2010,,,,
17579,48.80,1,09/11/2010,,,,
17580,2.55,1,07/12/2009,,,,
17581,177.45,10,23/11/2010,,,,
17582,39.70,2,25/11/2010,,,,
17584,263.50,3,26/10/2010,,,,
17585,9.05,3,08/11/2010,,,,
17586,10.20,1,30/04/2010,,,,
17589,195.04,9,25/11/2010,,,,
17591,17.00,2,01/12/2010,,,,
17593,72.60,3,29/11/2010,,,,
17594,33.00,1,03/06/2010,,,,
17596,41.80,3,22/10/2010,,,,
17601,4.25,1,10/03/2010,,,,
17602,111.67,5,08/12/2010,,,,
17604,2.95,1,18/10/2010,,,,
17606,17.70,1,26/01/2010,,,,
17607,14.75,1,11/08/2010,,,,
17609,10.10,2,25/10/2010,,,,
17610,35.69,4,25/11/2010,,,,
17611,85.19,8,22/11/2010,,,,
17612,43.50,4,23/05/2010,,,,
17617,23.40,1,16/03/2010,,,,
17618,55.01,7,07/12/2010,,,,
17621,15.00,1,14/12/2009,,,,
17622,39.60,1,19/01/2010,,,,
17623,95.40,4,21/11/2010,,,,
17624,19.80,1,14/11/2010,,,,
17625,33.60,2,12/10/2010,,,,
17633,12.50,1,16/02/2010,,,,
17635,15.00,1,13/01/2010,,,,
17638,280.80,1,08/11/2010,,,,
17639,20.30,1,05/12/2010,,,,
17644,109.15,5,08/12/2010,,,,
17646,17.70,1,06/06/2010,,,,
17651,15.00,1,22/06/2010,,,,
17655,98.10,1,24/09/2010,,,,
17659,15.90,1,17/09/2010,,,,
17660,6.30,1,06/12/2010,,,,
17663,71.10,2,18/08/2010,,,,
17664,58.65,2,11/10/2010,,,,
17671,15.00,1,29/08/2010,,,,
17672,113.70,2,18/11/2010,,,,
17673,21.68,3,07/12/2010,,,,
17675,185.20,5,03/12/2010,,,,
17676,43.80,2,12/09/2010,,,,
17677,275.55,8,29/11/2010,,,,
17679,17.40,1,04/08/2010,,,,
17680,30.60,1,02/08/2010,,,,
17683,24.95,1,29/11/2010,,,,
17686,27.80,2,08/04/2010,,,,
17687,34.00,1,07/11/2010,,,,
17690,83.05,5,02/09/2010,,,,
17692,11.25,1,05/10/2010,,,,
17694,14.75,1,06/04/2010,,,,
17696,84.60,6,08/08/2010,,,,
17700,100.26,5,25/10/2010,,,,
17702,59.15,1,28/10/2010,,,,
17706,251.60,4,25/11/2010,,,,
17708,17.70,1,15/02/2010,,,,
17713,23.60,1,06/07/2010,,,,
17714,17.00,1,14/11/2010,,,,
17716,111.85,6,07/12/2010,,,,
17720,10.20,1,03/12/2010,,,,
17726,17.85,1,10/12/2009,,,,
17729,15.30,1,29/03/2010,,,,
17730,32.10,2,21/11/2010,,,,
17732,47.40,2,01/09/2010,,,,
17735,35.40,2,23/11/2010,,,,
17738,35.40,2,31/01/2010,,,,
17739,59.50,1,20/12/2009,,,,
17743,88.50,1,08/09/2010,,,,
17745,19.90,1,27/01/2010,,,,
17751,2.50,1,28/01/2010,,,,
17753,6.75,1,18/10/2010,,,,
17754,36.92,2,29/10/2010,,,,
17756,14.07,1,22/03/2010,,,,
17757,55.60,8,17/11/2010,,,,
17759,18.50,1,08/12/2010,,,,
17760,3.45,2,14/07/2010,,,,
17763,8.85,1,14/11/2010,,,,
17769,38.75,2,04/10/2010,,,,
17771,10.50,1,24/01/2010,,,,
17772,2.10,1,31/08/2010,,,,
17773,22.50,1,08/12/2010,,,,
17774,40.70,3,21/10/2010,,,,
17776,3.35,2,19/03/2010,,,,
17778,11.25,1,26/03/2010,,,,
17780,4.25,1,16/11/2010,,,,
17785,6.60,1,15/03/2010,,,,
17787,29.70,1,12/08/2010,,,,
17789,6.60,1,20/01/2010,,,,
17790,10.40,3,10/11/2010,,,,
17792,1.70,1,29/10/2010,,,,
17796,11.65,2,11/08/2010,,,,
17797,9.24,2,22/09/2010,,,,
17798,2.50,1,23/12/2009,,,,
17799,86.40,6,15/10/2010,,,,
17801,13.20,1,28/10/2010,,,,
17802,93.01,4,19/11/2010,,,,
17804,2.10,1,18/02/2010,,,,
17807,7.55,1,13/09/2010,,,,
17808,1.30,1,02/09/2010,,,,
17809,425.00,1,23/11/2010,,,,
17810,2.55,1,08/02/2010,,,,
17811,43.50,4,07/10/2010,,,,
17812,2.55,1,25/08/2010,,,,
17816,2.55,1,12/05/2010,,,,
17817,12.95,1,26/08/2010,,,,
17818,1.25,1,21/09/2010,,,,
17819,1.10,1,16/09/2010,,,,
17821,45.00,1,14/09/2010,,,,
17822,13.69,2,24/11/2010,,,,
17823,5.04,1,16/11/2010,,,,
17825,17.85,1,15/02/2010,,,,
17827,9.90,1,05/03/2010,,,,
17829,25.20,1,20/04/2010,,,,
17838,115.29,5,11/11/2010,,,,
17840,3.37,1,18/08/2010,,,,
17841,504.67,63,09/12/2010,,,,
17843,11.70,1,26/02/2010,,,,
17845,0.95,1,28/09/2010,,,,
17847,1.25,1,27/04/2010,,,,
17848,55.25,3,10/05/2010,,,,
17850,"1,030.98",40,06/12/2010,,,,
17851,29.75,4,24/11/2010,,,,
17852,3.75,1,07/12/2010,,,,
17853,26.85,1,06/06/2010,,,,
17854,2.55,1,17/11/2010,,,,
17858,440.68,4,03/11/2010,,,,
17860,58.95,3,24/10/2010,,,,
17861,41.60,4,06/12/2010,,,,
17862,1.65,1,13/10/2010,,,,
17863,10.50,1,16/11/2010,,,,
17864,8.25,1,27/05/2010,,,,
17865,203.31,6,17/11/2010,,,,
17867,-1.65,3,06/12/2010,,,,
17869,4.65,1,14/03/2010,,,,
17871,5.07,2,08/11/2010,,,,
17873,75.60,2,20/06/2010,,,,
17878,30.00,1,07/11/2010,,,,
17882,6.35,2,28/09/2010,,,,
17883,11.85,2,10/10/2010,,,,
17884,52.68,4,29/11/2010,,,,
17886,29.95,1,09/09/2010,,,,
17888,49.74,2,07/09/2010,,,,
17889,5.45,2,12/10/2010,,,,
17894,12.65,2,05/10/2010,,,,
17897,13.30,4,08/11/2010,,,,
17898,17.00,1,16/02/2010,,,,
17905,216.15,3,09/12/2010,,,,
17908,18.13,3,20/10/2010,,,,
17913,24.65,5,04/10/2010,,,,
17920,179.04,12,29/11/2010,,,,
17921,21.30,4,07/12/2010,,,,
17930,-11.60,1,21/07/2010,,,,
17931,102.00,7,08/12/2010,,,,
17935,19.50,1,15/11/2010,,,,
17940,"1,080.00",1,10/08/2010,,,,
17945,20.40,1,14/05/2010,,,,
17949,"1,675.80",4,26/04/2010,,,,
17950,7.95,2,06/06/2010,,,,
17952,17.50,3,01/12/2010,,,,
17953,19.65,1,01/07/2010,,,,
17954,4.50,4,08/12/2010,,,,
17958,3.48,1,25/04/2010,,,,
17961,37.00,9,28/11/2010,,,,
17962,6.35,1,31/10/2010,,,,
17963,10.30,3,06/12/2010,,,,
17965,117.98,8,24/11/2010,,,,
17966,42.00,2,10/11/2010,,,,
17967,2.50,1,12/04/2010,,,,
17968,9.22,2,07/07/2010,,,,
17969,76.96,5,05/10/2010,,,,
17974,29.40,2,24/11/2010,,,,
17975,25.91,2,29/09/2010,,,,
17976,3.75,1,13/01/2010,,,,
17981,10.08,1,23/07/2010,,,,
17984,3.48,1,13/12/2009,,,,
17987,-0.10,2,03/12/2010,,,,
17988,5.60,3,07/11/2010,,,,
17990,83.70,2,21/11/2010,,,,
17991,13.90,1,12/10/2010,,,,
17992,0.84,1,07/10/2010,,,,
17993,2.50,1,13/08/2010,,,,
17994,66.80,3,18/10/2010,,,,
17995,1.95,1,03/10/2010,,,,
17999,3.80,1,19/08/2010,,,,
18001,3.40,1,16/02/2010,,,,
18002,25.10,2,28/09/2010,,,,
18008,15.05,2,19/11/2010,,,,
18009,38.20,3,17/10/2010,,,,
18011,8.70,2,22/11/2010,,,,
18012,3.30,1,11/12/2009,,,,
18021,26.35,1,09/12/2010,,,,
18022,16.80,3,29/10/2010,,,,
18025,20.90,3,25/11/2010,,,,
18026,7.95,1,26/09/2010,,,,
18029,7.80,1,06/05/2010,,,,
18034,20.87,1,01/12/2010,,,,
18036,5.50,2,02/11/2010,,,,
18039,1.95,1,13/04/2010,,,,
18041,97.76,6,14/11/2010,,,,
18043,0.63,1,20/10/2010,,,,
18044,45.15,3,23/11/2010,,,,
18050,17.70,1,05/10/2010,,,,
18051,20.28,1,20/08/2010,,,,
18055,59.55,2,21/11/2010,,,,
18057,15.30,1,29/06/2010,,,,
18058,10.20,1,08/10/2010,,,,
18060,51.00,2,18/08/2010,,,,
18061,70.50,2,01/06/2010,,,,
18062,52.20,2,27/07/2010,,,,
18064,20.40,1,10/12/2009,,,,
18065,150.75,4,31/08/2010,,,,
18069,71.80,4,22/11/2010,,,,
18070,59.50,1,28/11/2010,,,,
18071,15.00,1,22/01/2010,,,,
18074,129.30,1,10/10/2010,,,,
18075,56.10,3,19/04/2010,,,,
18077,59.70,4,09/12/2010,,,,
18078,5.90,2,05/11/2010,,,,
18083,13.17,1,02/09/2010,,,,
18084,17.70,1,12/05/2010,,,,
18090,5.45,1,04/06/2010,,,,
18091,15.00,1,06/10/2010,,,,
18096,10.15,2,28/04/2010,,,,
18100,30.15,1,03/06/2010,,,,
18102,"6,165.30",8,09/12/2010,,,,
18106,17.95,3,06/12/2010,,,,
18109,16.55,3,19/11/2010,,,,
18110,35.40,1,06/06/2010,,,,
18111,30.45,1,22/01/2010,,,,
18112,5.10,1,10/06/2010,,,,
18116,17.25,2,18/11/2010,,,,
18118,7.04,3,20/09/2010,,,,
18128,5.00,1,09/08/2010,,,,
18132,7.99,1,06/09/2010,,,,
18140,25.50,1,07/12/2010,,,,
18145,44.10,3,03/12/2010,,,,
18149,44.87,2,24/10/2010,,,,
18154,15.00,1,14/12/2009,,,,
18156,8.93,1,06/06/2010,,,,
18162,4.25,1,17/09/2010,,,,
18163,31.80,1,14/07/2010,,,,
18168,21.00,1,29/10/2010,,,,
18170,111.10,2,14/07/2010,,,,
18171,37.50,1,21/11/2010,,,,
18172,206.10,7,08/12/2010,,,,
18178,42.98,2,02/11/2010,,,,
18181,18.64,3,18/08/2010,,,,
18182,19.80,1,07/10/2010,,,,
18188,15.00,1,30/04/2010,,,,
18189,17.70,1,28/03/2010,,,,
18193,32.55,1,29/11/2010,,,,
18196,10.11,2,16/04/2010,,,,
18199,33.15,1,01/12/2010,,,,
18214,5.90,1,19/04/2010,,,,
18215,17.70,1,14/05/2010,,,,
18219,39.02,3,02/12/2010,,,,
18220,175.20,1,03/08/2010,,,,
18221,15.00,1,08/09/2010,,,,
18223,94.95,6,28/11/2010,,,,
18225,269.65,5,13/10/2010,,,,
18226,147.40,4,29/11/2010,,,,
18229,55.80,1,08/11/2010,,,,
18230,60.75,2,22/11/2010,,,,
18231,44.35,4,21/11/2010,,,,
18238,28.50,1,09/11/2010,,,,
18239,57.60,2,03/10/2010,,,,
18241,15.00,1,26/07/2010,,,,
18242,65.70,3,07/12/2010,,,,
18244,17.00,1,03/10/2010,,,,
18245,146.49,5,19/10/2010,,,,
18251,673.65,3,19/11/2010,,,,
18257,69.45,2,12/11/2010,,,,
18258,38.25,1,07/07/2010,,,,
18259,25.20,1,23/06/2010,,,,
18260,102.30,4,11/11/2010,,,,
18262,24.12,1,17/09/2010,,,,
18264,15.00,1,01/04/2010,,,,
18267,19.80,1,04/02/2010,,,,
18272,33.82,1,31/08/2010,,,,
18276,15.00,1,23/03/2010,,,,
18283,24.55,3,17/08/2010,,,,
18284,17.00,1,06/07/2010,,,,
18285,204.00,1,07/10/2010,,,,
18286,37.20,1,27/10/2010,,,,
Grand Total,"163,728.53",5684,09/12/2010,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Description,SUM of Quantity,,,,,,
COLOUR GLASS. STAR T-LIGHT HOLDER,"-1,155",,,,,,
LOVE GARLAND PAINTED ZINC,-576,,,,,,
FIRST CLASS HOLIDAY PURSE,-300,,,,,,
SILVER DIAMANTE PEN IN GIFT BOX,-96,,,,,,
WOODEN SCHOOL COLOURING SET,-72,,,,,,
STRAWBERRY CHARLOTTE BAG,-49,,,,,,
BEACH HUT PHOTO FRAME,-48,,,,,,
DOCTOR'S BAG SOFT TOY,-40,,,,,,
PENS ASSORTED SPACEBALL,-36,,,,,,
ASSORTED MINI MADRAS NOTEBOOK,-24,,,,,,
BIG DOUGHNUT FRIDGE MAGNETS,-24,,,,,,
LARGE CIRCULAR MIRROR MOBILE,-24,,,,,,
PACK OF 12 TRADITIONAL CRAYONS,-24,,,,,,
PARTY PIZZA DISH RED RETROSPOT,-24,,,,,,
WHITE CHERRY LIGHTS,-22,,,,,,
BAKING SET SPACEBOY DESIGN,-20,,,,,,
STRAWBERRY CERAMIC TRINKET BOX,-18,,,,,,
HANGING HEART JAR T-LIGHT HOLDER,-14,,,,,,
4 IVORY DINNER CANDLES SILVER FLOCK,-12,,,,,,
CHILDS GARDEN BRUSH PINK,-12,,,,,,
CHRISTMAS RETROSPOT HEART WOOD,-12,,,,,,
COOK WITH WINE METAL SIGN,-12,,,,,,
HANGING PHOTO CLIP ROPE LADDER,-12,,,,,,
LADLE LOVE HEART PINK,-12,,,,,,
ROBOT BIRTHDAY CARD,-12,,,,,,
SET OF 36 PAISLEY FLOWER DOILIES,-12,,,,,,
SET/20 RED SPOTTY PAPER NAPKINS,-12,,,,,,
SET/6 STRAWBERRY PAPER CUPS,-12,,,,,,
TRADITIONAL CHRISTMAS RIBBONS,-12,,,,,,
UNION JACK HOT WATER BOTTLE,-12,,,,,,
PINK CREAM FELT CRAFT TRINKET BOX,-11,,,,,,
JUMBO SHOPPER VINTAGE RED PAISLEY,-10,,,,,,
LARGE POPCORN HOLDER,-10,,,,,,
ASSORTED COLOUR SILK COIN PURSE,-9,,,,,,
BAKING SET 9 PIECE RETROSPOT,-8,,,,,,
CREAM HEART CARD HOLDER,-8,,,,,,
PINK POLKADOT CUP,-8,,,,,,
POTTING SHED TEA MUG,-8,,,,,,
RED RETROSPOT MUG,-8,,,,,,
LOVE BUILDING BLOCK WORD,-7,,,,,,
PINK CHERRY LIGHTS,-7,,,,,,
S/4 PINK FLOWER CANDLES IN BOWL,-7,,,,,,
COFFEE MUG DOG + BALL DESIGN,-6,,,,,,
GREY FLORAL FELTCRAFT SHOULDER BAG,-6,,,,,,
MEASURING TAPE BABUSHKA BLUE,-6,,,,,,
POTTING SHED COFFEE MUG,-6,,,,,,
SET OF 6 SPICE TINS PANTRY DESIGN,-6,,,,,,
SET OF 9 BLACK SKULL BALLOONS,-6,,,,,,
TOY TIDY SPACEBOY,-6,,,,,,
CAKE STAND LOVEBIRD 2 TIER WHITE,-5,,,,,,
GREEN CHERRY LIGHTS,-5,,,,,,
YELLOW EASTER EGG HUNT START POST,-5,,,,,,
BLUE FLOCK GLASS CANDLEHOLDER,-4,,,,,,
CERAMIC CAKE STAND + HANGING CAKES,-4,,,,,,
CHARLIE & LOLA WASTEPAPER BIN FLORA,-4,,,,,,
GOLD WINE GOBLET,-4,,,,,,
IVORY GIANT GARDEN THERMOMETER,-4,,,,,,
PICNIC BASKET WICKER LARGE,-4,,,,,,
SET 12 KIDS COLOUR CHALK STICKS,-4,,,,,,
SET OF 6 T-LIGHTS WEDDING CAKE,-4,,,,,,
SET/5 RED SPOTTY LID GLASS BOWLS,-4,,,,,,
WOOD 2 DRAWER CABINET WHITE FINISH,-4,,,,,,
BATH BUILDING BLOCK WORD,-3,,,,,,
DAIRY MAID SUGAR JAM BOWL,-3,,,,,,
DELUXE SEWING KIT,-3,,,,,,
EMBOSSED GLASS TEALIGHT HOLDER,-3,,,,,,
GLASS JAR MARMALADE,-3,,,,,,
GOLD CHERRY LIGHTS,-3,,,,,,
Manual,-3,,,,,,
RED SPOTTY ROUND CAKE TINS,-3,,,,,,
RETRO SPOT TRADITIONAL TEAPOT,-3,,,,,,
RETROSPOT CHILDRENS APRON,-3,,,,,,
RETROSPOT HEART HOT WATER BOTTLE,-3,,,,,,
WHEELBARROW FOR CHILDREN,-3,,,,,,
WOODLAND CHARLOTTE BAG,-3,,,,,,
CAKE STAND WHITE TWO TIER LACE,-2,,,,,,
COFFEE MUG APPLES DESIGN,-2,,,,,,
GLASS BEURRE DISH,-2,,,,,,
GOLD JEWELERY BOX,-2,,,,,,
JUMBO BAG RED RETROSPOT,-2,,,,,,
LARGE CAKE STAND HANGING STRAWBERY,-2,,,,,,
MOROCCAN TEA GLASS,-2,,,,,,
RECIPE BOX RETROSPOT,-2,,,,,,
RED RETROSPOT CAKE STAND,-2,,,,,,
RED RETROSPOT STORAGE JAR,-2,,,,,,
RED RETROSPOT UMBRELLA,-2,,,,,,
RETRO SPOT CERAMIC TOASTRACK,-2,,,,,,
RETRO SPOT LARGE MILK JUG,-2,,,,,,
SET OF 3 COLOURED FLYING DUCKS,-2,,,,,,
SQUARE MIRROR CURTAIN,-2,,,,,,
SWEETHEART KEY CABINET,-2,,,,,,
TWO DOOR CURIO CABINET,-2,,,,,,
WHITE BEADED GARLAND STRING 20LIGHT,-2,,,,,,
WOODEN BOX ADVENT CALENDAR,-2,,,,,,
3 HOOK PHOTO SHELF ANTIQUE WHITE,-1,,,,,,
AIRLINE BAG VINTAGE JET SET RED,-1,,,,,,
ANTIQUE LILY FAIRY LIGHTS,-1,,,,,,
ASSORTED TUTTI FRUTTI SMALL PURSE,-1,,,,,,
BLACK CHERRY LIGHTS,-1,,,,,,
BLACK/WHITE GLASS/SILVER BRACELET,-1,,,,,,
BLUE YELLOW FLOWER PIGGY BANK,-1,,,,,,
CAMOUFLAGE LED TORCH,-1,,,,,,
CHERRY BLOSSOM DECORATIVE FLASK,-1,,,,,,
CREAM SWEETHEART WALL CABINET,-1,,,,,,
Discount,-1,,,,,,
DOORSTOP RETROSPOT HEART,-1,,,,,,
EASTER DECORATION SITTING BUNNY,-1,,,,,,
EAU DE NIL DINER WALL CLOCK,-1,,,,,,
ENAMEL FLOWER JUG CREAM,-1,,,,,,
FAMILY PHOTO FRAME CORNICE,-1,,,,,,
FLAMINGO LIGHTS,-1,,,,,,
GLASS CHALICE GREEN LARGE,-1,,,,,,
GLASS JAR ENGLISH CONFECTIONERY,-1,,,,,,
GOLD WASHBAG,-1,,,,,,
HAND WARMER OWL DESIGN,-1,,,,,,
HEART SHAPE WIRELESS DOORBELL,-1,,,,,,
HOME BUILDING BLOCK WORD,-1,,,,,,
HOT BATHS METAL SIGN,-1,,,,,,
JOY WOODEN BLOCK LETTERS,-1,,,,,,
JUMBO BAG RED WHITE SPOTTY,-1,,,,,,
KINGS CHOICE BISCUIT TIN,-1,,,,,,
LUNCH BAG SUKI DESIGN,-1,,,,,,
PHARMACIE FIRST AID TIN,-1,,,,,,
PINK POLKADOT KIDS BAG,-1,,,,,,
PINK SMALL GLASS CAKE STAND,-1,,,,,,
PLASTERS IN TIN SPACEBOY,-1,,,,,,
"POPCORN HOLDER , LARGE",-1,,,,,,
RED METAL BEACH SPADE,-1,,,,,,
RED RETROSPOT TRADITIONAL TEAPOT,-1,,,,,,
RED SPOTTY PEG BAG,-1,,,,,,
RED/CREAM STRIPE FRINGE HAMMOCK,-1,,,,,,
RETRO PLASTIC ELEPHANT TRAY,-1,,,,,,
RETRO SPOT STORAGE JAR,-1,,,,,,
SET/3 RUSSIAN DOLL STACKING TINS,-1,,,,,,
SET/4 BLUE FLOWER CANDLES IN BOWL,-1,,,,,,
SILVER CHRISTMAS TREE BAUBLE STAND,-1,,,,,,
SLATE TILE NATURAL HANGING,-1,,,,,,
STRAWBERRY CANDY BAG,-1,,,,,,
STRAWBERRY FAIRY CAKE TEAPOT,-1,,,,,,
STRING OF 20 ROSE LIGHTS,-1,,,,,,
SWEETHEART CAKESTAND 3 TIER,-1,,,,,,
VINTAGE CARAVAN GREETING CARD,-1,,,,,,
VINTAGE UNION JACK PENNANT,-1,,,,,,
WOODEN CROQUET GARDEN SET,-1,,,,,,
WOODEN FRAME ANTIQUE WHITE,-1,,,,,,
Grand Total,"-3,036",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Country,SUM of Total_Value,,,,,,
United Kingdom,"141,829.36",,,,,,
EIRE,"4,888.92",,,,,,
Netherlands,"4,321.70",,,,,,
Germany,"4,209.32",,,,,,
France,"2,769.00",,,,,,
Switzerland,963.01,,,,,,
Sweden,677.10,,,,,,
Denmark,669.28,,,,,,
Channel Islands,623.66,,,,,,
Belgium,474.35,,,,,,
Portugal,445.70,,,,,,
Greece,331.65,,,,,,
Austria,304.40,,,,,,
Japan,276.88,,,,,,
Cyprus,255.00,,,,,,
Norway,221.40,,,,,,
Italy,176.25,,,,,,
Malta,135.54,,,,,,
Australia,129.49,,,,,,
Unspecified,123.90,,,,,,
Lithuania,88.35,,,,,,
Iceland,78.38,,,,,,
USA,64.77,,,,,,
Singapore,63.90,,,,,,
Thailand,55.50,,,,,,
Poland,50.76,,,,,,
Finland,37.82,,,,,,
United Arab Emirates,35.40,,,,,,
West Indies,25.50,,,,,,
Bahrain,19.80,,,,,,
Korea,16.80,,,,,,
RSA,13.20,,,,,,
Nigeria,13.20,,,,,,
Brazil,2.10,,,,,,
,0.00,,,,,,
Spain,-662.86,,,,,,
Grand Total,"163,728.53",,,,,,
